0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2024年1月21日（日曜） 1回京都7日,16,6,12,バビット,牡7,57.0,団野 大成,1:54.4,大差,1129,41.1,468(+10),浜田 多実雄,11
2024年1月28日（日曜） 1回東京2日,1,4,7,エンペラーワケア,牡4,56.0,川田 将雅,1:24.1,,55,35.2,534(0),杉山 晴紀,1
2024年1月28日（日曜） 1回東京2日,2,8,16,アームズレイン,牡4,56.0,松若 風馬,1:24.5,２ 1/2,22,36.0,506(-4),上村 洋行,6
2024年1月28日（日曜） 1回東京2日,3,5,10,サンライズフレイム,牡4,56.0,藤岡 康太,1:24.6,１／２,66,35.4,512(+4),石坂 公一,2
2024年1月28日（日曜） 1回東京2日,4,1,2,ヘリオス,せん8,57.0,武 豊,1:24.7,３／４,11,36.4,482(+2),西園 正都,8
2024年1月28日（日曜） 1回東京2日,5,2,3,フルム,牡5,57.0,水口 優也,1:24.8,１／２,66,35.7,484(-4),浜田 多実雄,7
2024年1月28日（日曜） 1回東京2日,6,3,5,ベルダーイメル,牡7,57.0,柴田 善臣,1:24.9,クビ,89,35.6,470(+12),本田 優,10
2024年1月28日（日曜） 1回東京2日,7,3,6,シャマル,牡6,57.0,川須 栄彦,1:25.0,１／２,33,36.3,510(+10),松下 武士,9
2024年1月28日（日曜） 1回東京2日,8,7,14,アルファマム,牝5,55.0,菅原 明良,1:25.0,クビ,1313,35.1,466(0),佐々木 晶三,4
2024年1月28日（日曜） 1回東京2日,9,6,11,パライバトルマリン,牝4,54.0,戸崎 圭太,1:25.1,クビ,33,36.4,506(-6),林 徹,5
2024年1月28日（日曜） 1回東京2日,10,2,4,ライラボンド,牡5,57.0,小林 勝太,1:25.4,１ 3/4,1110,36.0,528(-2),杉浦 宏昭,15
2024年1月28日（日曜） 1回東京2日,11,1,1,アイオライト,牡7,57.0,団野 大成,1:25.6,１ 1/4,86,36.5,498(+6),武藤 善則,11
2024年1月28日（日曜） 1回東京2日,12,7,13,オマツリオトコ,牡4,56.0,石川 裕紀人,1:25.6,ハナ,810,36.2,494(0),伊藤 圭三,13
2024年1月28日（日曜） 1回東京2日,13,6,12,タガノビューティー,牡7,57.0,石橋 脩,1:25.6,アタマ,1415,35.4,520(+2),西園 正都,3
2024年1月28日（日曜） 1回東京2日,14,4,8,ピアシック,牡8,57.0,落合 玄太,1:25.7,クビ,1415,35.5,502(-14),森 秀行,16
2024年1月28日（日曜） 1回東京2日,15,5,9,エクロジャイト,牡4,56.0,横山 武史,1:26.2,３,1112,36.5,502(-10),安田 隆行,12
2024年1月28日（日曜） 1回東京2日,16,8,15,ケンシンコウ,牡7,57.0,田辺 裕信,1:26.5,１ 3/4,1413,36.5,502(+2),小西 一男,14
2024年1月28日（日曜） 2回京都2日,1,2,4,ルガル,牡4,57.5,西村 淳也,1:07.7,,22,34.0,522(+10),杉山 晴紀,2
2024年1月28日（日曜） 2回京都2日,2,7,13,アグリ,牡5,58.0,坂井 瑠星,1:08.2,３,99,33.7,496(-4),安田 隆行,1
2024年1月28日（日曜） 2回京都2日,3,3,5,エターナルタイム,牝5,54.0,C.ルメール,1:08.3,１／２,66,34.2,490(+10),中川 公成,3
2024年1月28日（日曜） 2回京都2日,4,5,9,サンライズロナウド,牡5,55.0,横山 典弘,1:08.5,１ 1/4,99,34.1,478(+2),安田 隆行,8
2024年1月28日（日曜） 2回京都2日,5,8,18,ショウナンハクラク,牡5,55.0,浜中 俊,1:08.6,１／２,1716,33.5,480(+4),松下 武士,11
